Category,Geography,Geography,People,People,People,People,Economy,Economy,Economy,Economy,Economy,Economy,Transportation,Transportation,Transportation,Transportation,Education,Education,Education,Tourism,Tourism,Tourism,Tourism,Tourism,Health,Health,Health,Health,Health,Health,Culture,Culture,Environment,Environment,Environment,Environment,Environment
Indicator,City Area (km2),Metro Area (km2),City Population (millions),Metro Population (millions),Foreign Born,Annual Population Growth,"GDP Per Capita (thousands $, PPP rates, per resident)",Primary Industry,Secondary Industry,Share of Global 500 Companies (%),Unemployment Rate,Poverty Rate,Public Transportation,Mass Transit Commuters,Major Airports,Major Ports,Students Enrolled in Higher Education,Percent of Population with Higher Education (%),Higher Education Institutions,Total Tourists Annually (millions),Foreign Tourists Annually (millions),Domestic Tourists Annually (millions),Annual Tourism Revenue ($US billions),Hotel Rooms (thousands),"Infant Mortality (Deaths per 1,000 Births)",Life Expectancy in Years (Male),Life Expectancy in Years (Female),"Physicians per 100,000 People",Number of Hospitals,Anti-Smoking Legislation,Number of Museums,Number of Cultural and Arts Organizations,Green Spaces (km2),Air Quality PM10,Laws or Regulations to Improve Energy Efficiency,Retrofitted City Vehicle Fleet,Bike Share Program
London,321,"1,584",8.2,9.01,37%,0.85%,52,Real Estate & Rental & Leasing,Finance & Insurance,3.20%,8.30%,16%,"Subway, Bus, Rail, Ferry, Cycling, Bikeshare",49.90%,5,1,"4,02,410",31%,40,26.3,15.2,11.1,19,100.12,4.6,79,83.3,,255,Yes,237,307,0.1386,29,Yes,Yes,Yes
Amsterdam,165,807,0.76,1.4,47.28%,1.18%,46,Research and Advising,Health Services and Welfare,1%,5.40%,17.80%,"Tram, Metro, Bus, Ferry",,1,1,"53,562",,23,4.62,3.65,0.97,,45.9,4.12,76.3,80.8,269.2,7,Yes,68,141,57.40%,24,Yes,No,No
Ankara,30.72,"25,437",3.54,4.77,,25.67%,21.2,Wholesale and Retail Trade,Manufacturing,,12.10%,,"Bus, Subway, Rail",,1,,"1,69,088",19.30%,10,0.76,0.33,0.43,,3.87,,,,,7,Yes,36,,0.071,46,No,No,No
Athens,38.91,380.692,0.66,4.01,22%,,30.5,,,,16.20%,,"Train, Bus, Trolleybus, Tram, Metro, Ferry",,1,1,,,,,2.1,,2.7,16.5,8.37,,,,23,Yes,47,,,41,Yes,,No
Bangkok,"1,569","7,762",5.72,6.5,20%,3.10%,23.4,Agriculture,"Manufacturing, Professional Services",0.20%,2.20%,0.07%,"Bus, Sky Train, Subway, Train, Bikeshare",,2,1,"10,15,172",52%,37,26.89,10.84,16.04,$10.99,60.59,5.7,69,74,,173,,27,,0.2358,54,Yes,Yes,Yes
Barcelona,102.6,"3,236",1.62,3.23,21%,1.25%,36.3,Services,Construction,0.20%,15.40%,20.10%,"Bus, Rail, Subway, Bikeshare",42.20%,1,1,"1,87,179",24%,8,19.29,13.29,6,,31.88,9.4,79,85.2,,45,Yes,69,,5.60%,35,Yes,,Yes
Beijing,92.54,"16,410.54",14.39,19.62,0.46%,3.80%,20.3,Wholesale & Retail,Finance,8.20%,1.37%,0.84%,"Bus, Rail, Subway, Bike",,1,,"1,57,00,000",0.05%,89,184.9,4.9,180,40.88,638,3.29,79,83,355,551,Yes,156,405,0.0045,121,Yes,,No
Berlin,892,"30,373",3.44,4.97,14.10%,0.32%,33.3,"Finance, Rental & Leasing","Transportation, Manufacturing, Tourism",0.20%,15.50%,,"Bus, Rail, Subway, Tram, Bikeshare",,2,2,"1,34,504",14.80%,30,8.26,2.88,5.38,$12.57,"1,04,483",3.9,82,88,176,79,Yes,170,506,36.20%,26,,,Yes
Bogota,"1,732",,7.44,9.1,,1.41%,15.9,Manufacturing,Finance and Insurance,0.20%,9.60%,22%,Bus,26%,1,,"1,50,546",21%,19,,0.69,,,7.55,16.89,74.6,79.7,,22,,76,,,77,Yes,,
